,Date,Total System (kWh),Full Load Hours (Monthly),Total Yield (kWh),Daily Value (kWh)
178,2025-06-27,,111.82,8388.7,78.6
179,2025-06-28,,111.82,8388.7,56.3
180,2025-06-29,,111.82,8388.7,93.6
181,2025-06-30,,111.82,8388.7,92.1
182,2025-07-01,,0.04,8388.7,74.5
183,2025-07-02,,0.04,8388.7,86.0
184,2025-07-03,,0.04,8388.7,21.0
185,2025-07-04,,0.04,8388.7,43.8
186,2025-07-05,,0.04,8388.7,86.1
187,2025-07-06,,0.04,8388.7,32.6
188,2025-07-07,,0.04,8388.7,75.9
189,2025-07-08,,0.04,8388.7,85.7
190,2025-07-09,,0.04,8388.7,74.0
191,2025-07-10,,0.04,8388.7,54.3
192,2025-07-11,,0.04,8388.7,10.1
193,2025-07-12,,0.04,8388.7,
194,2025-07-13,,0.04,8388.7,
195,2025-07-14,,0.04,8388.7,
196,2025-07-15,,0.04,8388.7,
197,2025-07-16,,0.04,8388.7,3.2
198,2025-07-17,,0.04,8388.7,
199,2025-07-18,,0.04,8388.7,
200,2025-07-19,,0.04,8388.7,
201,2025-07-20,,0.04,8388.7,
202,2025-07-21,,0.04,8388.7,
203,2025-07-22,,0.04,8388.7,
204,2025-07-23,,0.04,8388.7,
205,2025-07-24,,0.04,8388.7,
206,2025-07-25,,0.04,8388.7,
207,2025-07-26,,0.04,8388.7,
208,2025-07-27,,0.04,8388.7,
209,2025-07-28,,0.04,8388.7,
210,2025-07-29,,0.04,8388.7,
211,2025-07-30,,0.04,8388.7,
212,2025-07-31,,0.04,8388.7,
213,,122.82491,,,
214,,117.37637,,,
215,,140.39799,,,
216,,152.78358,,,
217,,153.1576,,,
218,,144.22354,,,
219,,133.62935,,,
220,,140.55812,,,
221,,138.35819,,,
222,,130.59102,,,
223,,127.66253,,,
224,,130.41368,,,
225,,84.6635,,,
226,,114.77362,,,
227,,90.3863,,,
228,,137.38585,,,
229,,133.19376,,,
230,,121.21744,,,
231,,68.9251,,,
232,,105.3863,,,
233,,21.20703,,,
234,,0.0,,,
235,,0.0,,,
236,,0.0,,,
237,,0.0,,,
238,,0.0,,,
239,,55.00966,,,
240,,113.79426,,,
241,,108.67357,,,
242,,101.27047,,,
243,,94.18578,,,
244,,94.86438,,,
245,,69.48007,,,
246,,104.82217,,,
247,,98.10975,,,
248,,45.34731,,,
249,,90.26094,,,
250,,96.19535,,,
251,,58.28897,,,
252,,61.54857,,,
253,,50.07423,,,
254,,29.90926,,,
255,2025-10-01,47.71269,64.23,8388.7,
256,2025-10-02,85.19544,64.23,8388.7,
257,2025-10-03,74.16696,64.23,8388.7,49.0
258,2025-10-04,52.60496,64.23,8388.7,33.1
259,2025-10-05,87.75524,64.23,8388.7,57.8
260,2025-10-06,52.22118,64.23,8388.7,24.3
261,2025-10-07,56.75565,64.23,8388.7,30.2
262,2025-10-08,62.62942,64.23,8388.7,39.6
263,2025-10-09,84.01039,64.23,8388.7,53.7
264,2025-10-10,75.94191,64.23,8388.7,49.5
265,2025-10-11,24.84253,64.23,8388.7,9.9
266,2025-10-12,33.57148,64.23,8388.7,12.4
267,2025-10-13,76.47039,64.23,8388.7,40.5
268,2025-10-14,84.69478,64.23,8388.7,52.2
269,2025-10-15,78.9035,64.23,8388.7,48.5
270,2025-10-16,74.07054,64.23,8388.7,48.3
271,2025-10-17,72.32819,64.23,8388.7,45.1
272,2025-10-18,74.98411,64.23,8388.7,49.0
273,2025-10-19,33.17539,64.23,8388.7,15.9
274,2025-10-20,54.49062,64.23,8388.7,10.7
275,2025-10-21,63.28724,64.23,8388.7,33.9
276,2025-10-22,65.15189,64.23,8388.7,3.3
277,2025-10-23,59.24252,64.23,8388.7,41.6
278,2025-10-24,31.78188,64.23,8388.7,13.5
279,2025-10-25,60.99986,64.23,8388.7,31.2
280,2025-10-26,18.80713,64.23,8388.7,7.6
281,2025-10-27,17.70041,64.23,8388.7,6.9
282,2025-10-28,63.6922,64.23,8388.7,42.7
283,2025-10-29,46.56279,64.23,8388.7,23.7
284,2025-10-30,38.87725,64.23,8388.7,21.0
285,2025-10-31,31.5646,64.23,8388.7,17.0
286,2025-11-01,21.90894,35.17,8388.7,14.9
287,2025-11-02,54.71393,35.17,8388.7,35.7
288,2025-11-03,40.4003,35.17,8388.7,29.6
289,2025-11-04,51.05769,35.17,8388.7,37.9
290,2025-11-05,27.03305,35.17,8388.7,19.5
291,2025-11-06,13.49013,35.17,8388.7,1.1
292,2025-11-07,0.41774,35.17,8388.7,0.3
293,2025-11-08,15.52135,35.17,8388.7,3.3
294,2025-11-09,25.3939,35.17,8388.7,13.7
295,2025-11-10,27.03163,35.17,8388.7,25.2
296,2025-11-11,35.95155,35.17,8388.7,31.5
297,2025-11-12,35.9979,35.17,8388.7,30.0
298,2025-11-13,23.52451,35.17,8388.7,13.5
299,2025-11-14,32.00773,35.17,8388.7,32.2
300,2025-11-15,30.89557,35.17,8388.7,28.0
301,2025-11-16,27.68115,35.17,8388.7,21.0
302,2025-11-17,19.26993,35.17,8388.7,10.1
303,2025-11-18,10.28506,35.17,8388.7,3.7
304,2025-11-19,22.69691,35.17,8388.7,21.1
305,2025-11-20,24.49584,35.17,8388.7,25.1
306,2025-11-21,17.33032,35.17,8388.7,10.5
307,2025-11-22,18.67292,35.17,8388.7,23.2
308,2025-11-23,18.96364,35.17,8388.7,16.9
309,2025-11-24,18.45858,35.17,8388.7,21.9
310,2025-11-25,18.98742,35.17,8388.7,23.7
311,2025-11-26,19.80405,35.17,8388.7,2.5
312,2025-11-27,9.11191,35.17,8388.7,2.2
313,2025-11-28,0.29099,35.17,8388.7,0.3
314,2025-11-29,0.41276,35.17,8388.7,0.7
315,2025-11-30,0.43721,35.17,8388.7,0.1
316,2025-12-01,0.08486,0.0,8388.7,0.1
317,2025-12-02,4.20394,0.0,8388.7,0.9
318,2025-12-03,0.83251,0.0,8388.7,0.1
319,2025-12-04,2.19414,0.0,8388.7,0.9
320,2025-12-05,0.43693,0.0,8388.7,0.1
321,2025-12-06,0.26601,0.0,8388.7,0.4
322,2025-12-07,0.09034,0.0,8388.7,0.3
323,2025-12-08,0.0174,0.0,8388.7,0.4
324,2025-12-09,0.00777,0.0,8388.7,0.2
325,2025-12-10,0.09797,0.0,8388.7,0.3
326,2025-12-11,0.00071,0.0,8388.7,0.1
327,2025-12-12,0.0,0.0,8388.7,0.1
328,2025-12-13,0.0,0.0,8388.7,0.0
329,2025-12-14,0.0,0.0,8388.7,0.2
330,2025-12-15,0.01509,0.0,8388.7,0.1
331,2025-12-16,0.0,0.0,8388.7,0.2
332,2025-12-17,0.0,0.0,8388.7,0.1
333,2025-12-18,0.0,0.0,8388.7,0.1
334,2025-12-19,0.0,0.0,8388.7,0.2
335,2025-12-20,0.0,0.0,8388.7,0.1
336,2025-12-21,0.0,0.0,8388.7,0.1
337,2025-12-22,0.0,0.0,8388.7,0.1
338,2025-12-23,0.0,0.0,8388.7,0.2
339,2025-12-24,0.0,0.0,8388.7,0.1
340,2025-12-25,0.0,0.0,8388.7,
341,2025-12-26,0.0,0.0,8388.7,
342,2025-12-27,0.0,0.0,8388.7,
343,2025-12-28,0.0,0.0,8388.7,
344,2025-12-29,0.0,0.0,8388.7,
345,2025-12-30,0.0,0.0,8388.7,
346,2025-12-31,0.0,0.0,8388.7,
347,2026-01-01,0.0,14.94,8388.7,
348,2026-01-02,,14.94,8388.7,0.1
349,2026-01-03,,14.94,8388.7,0.0
350,2026-01-04,,14.94,8388.7,
351,2026-01-05,,14.94,8388.7,
352,2026-01-06,,14.94,8388.7,
353,2026-01-07,,14.94,8388.7,
354,2026-01-08,,14.94,8388.7,
355,2026-01-09,,14.94,8388.7,
356,2026-01-10,,14.94,8388.7,
357,2026-01-11,,14.94,8388.7,
358,2026-01-12,,14.94,8388.7,0.2
359,2026-01-13,,14.94,8388.7,0.5
360,2026-01-14,,14.94,8388.7,5.6
361,2026-01-15,,14.94,8388.7,13.7
362,2026-01-16,,14.94,8388.7,18.7
363,2026-01-17,,14.94,8388.7,20.4
364,2026-01-18,,14.94,8388.7,11.3
365,2026-01-19,,14.94,8388.7,8.3
366,2026-01-20,,14.94,8388.7,12.2
367,2026-01-21,,14.94,8388.7,8.3
368,2026-01-22,,14.94,8388.7,28.2
369,2026-01-23,,14.94,8388.7,0.0
370,2026-01-24,,14.94,8388.7,3.0
371,2026-01-25,,14.94,8388.7,4.8
372,2026-01-26,,14.94,8388.7,3.0
373,2026-01-27,,14.94,8388.7,11.5
374,2026-01-28,,14.94,8388.7,7.7
375,2026-01-29,,14.94,8388.7,18.1
376,2026-01-30,,14.94,8388.7,11.2
377,2026-01-31,,14.94,8388.7,25.4
378,2026-02-01,,23.68,8388.7,5.1
379,2026-02-02,,23.68,8388.7,19.2
380,2026-02-03,,23.68,8388.7,32.2
381,2026-02-04,,23.68,8388.7,19.5
382,2026-02-05,,23.68,8388.7,39.5
383,2026-02-06,,23.68,8388.7,26.8
384,2026-02-07,,23.68,8388.7,21.1
385,2026-02-08,,23.68,8388.7,30.2
386,2026-02-09,,23.68,8388.7,39.1
387,2026-02-10,,23.68,8388.7,41.1
388,2026-02-11,,23.68,8388.7,32.6
389,2026-02-12,,23.68,8388.7,29.9
390,2026-02-13,,23.68,8388.7,
391,2026-02-14,,23.68,8388.7,
392,2026-02-15,,23.68,8388.7,
393,2026-02-16,,23.68,8388.7,
394,2026-02-17,,23.68,8388.7,
395,2026-02-18,,23.68,8388.7,
396,2026-02-19,,23.68,8388.7,
397,2026-02-20,,23.68,8388.7,
398,2026-02-21,,23.68,8388.7,
399,2026-02-22,,23.68,8388.7,
400,2026-02-23,,23.68,8388.7,
401,2026-02-24,,23.68,8388.7,
402,2026-02-25,,23.68,8388.7,
403,2026-02-26,,23.68,8388.7,
404,2026-02-27,,23.68,8388.7,
405,2026-02-28,,23.68,8388.7,
